Code_No,Barcode,Item_Description,Quantity,Unit,Unit_Description,Category,Project,Date_Received,Expiry_Date,Remark
MNTD001,,Falcon tubes of 50ml (Corning),,,,,,,,
MNTD002,,Corning 50ml Centrifuge Tube (RNase and DNase free),18,Bag,25 tubes/bag,Tube_Falcon,HAMMS,,,
MNTD003,, safe lock tubes 2.0ml (porensic DNA grade),20,Pack,500eppendorf tubes/pack,,HAMMS,,,
MNTD004,,safe lock tubes 15ml (forensic DNA grade),7,Pack,500 eppendorf tube/pack,,HAMMS,,,
MNTD005,,eppendorf tubes 5.0ml (forensic DNA grade),2,Pack,200 tubes/pack,,HAMMS,,,
MNTD006,,eppendorf tubes 5.0ml (sterile),1,Pack,200 tube/pack,,HAMMS,,,
MNTD007,,microcentrifuge 1.5ml with cap (ratialb),1,Bag,1000/bag,,HAMMS,,,
MNTD008,,microcentrifuge  (fischer brand ) (6 holes),2,Each,each,,HAMMS,,,
MNTD009,,pk-25-96-well PCR plate (non skerted ),3,Pack,25/pack,,HAMMS,,,
MNTD010,,"96- well full skirt PCR micro plate ,clear ( axygen )",5,Pack,10 plate/pack,,HAMMS,,,
MNTD011,,axygen pierceable  alumnium sealing film (non sterile),13,Pack,100/pack,,HAMMS,,,
MNTD012,,adhesive sealing sheet (clear),13,Pack,100sheet/pack,,HAMMS,,,
MNTD013,,0.2ml non skirted low profile 96-well PCR plate,8,Pack,15plate/pack,,HAMMS,,,
MNTD014,, assay plate with low evaporation lid 96 well flat bottom ,20,Pack,20/pack,,HAMMS,,,
MNTD015,,"quality nano plate 26k, 24-well (10)",16,Pack,10/pack,,HAMMS,,,
MNTD016,,QIAality nano plate 8.5K- 24-well(10),11,Pack,10/pack,,HAMMS,,,
MNTD017,,1Xds DNA BR working solution ,12,Each,250ml/each,,HAMMS,,,
MNTD018,,RNase free 8-strip 0.2ml PCR tubes of capsF ,2,Pack,125tubes/pack,,HAMMS,,,
MNTD019,,PCR consumable with attached individual cap 0.2ml,3,Box,120PCS/box,,HAMMS,,,
MNTD020,,high seansetivity DNA chips (agilent),8,Each,each,,HAMMS,,,
MNTD021,,VWS PCR plate 96 well non skirted (0.2ml),176,Pack,pack,,HAMMS,,,
MNTD022,,1ml lver syringe with out needle,61,Pack,120pcs/pack,,HAMMS,,,
MNTD023,,"square well-block (DNA.RNA,&protein pun)",1,Box,24pcs/box,,HAMMS,,,
MNTD024,,king fisher 96 tip comb,2,Pack,100pcs/pack,,HAMMS,,,
MNTD025,,low protein birding microcentrifuge tubes 1.5ml,3,Pack,250pcs/pack,,HAMMS,,,
MNTD026,,ultra pure agarose 500g ,4,Each,each,,HAMMS,,,
MNTD027,,ultra pure 10x TBE buffer 1000ml ,5,Bottle,each,,HAMMS,,,
MNTD028,,10X TBE buffer 0.2um filtered 1000ml,2,Bottle,each,,HAMMS,,,
MNTD029,,water molecular biology grade 0.03u  filtered 1l,1,Bottle,each,,HAMMS,,,
