Code_No,Item_Description,Category,Unit,Check-in total,Check-out total,Balance,% Balance
MNTD001,Falcon tubes of 50ml (Corning),,,0,0,0,0%
MNTD002,Corning 50ml Centrifuge Tube (RNase and DNase free),Tube_Falcon,Bag,18,1,17,94%
MNTD003, safe lock tubes 2.0ml (porensic DNA grade),,Pack,20,0,20,100%
MNTD004,safe lock tubes 15ml (forensic DNA grade),,Pack,7,0,7,100%
MNTD005,eppendorf tubes 5.0ml (forensic DNA grade),,Pack,2,0,2,100%
MNTD006,eppendorf tubes 5.0ml (sterile),,Pack,1,0,1,100%
MNTD007,microcentrifuge 1.5ml with cap (ratialb),,Bag,1,0,1,100%
MNTD008,microcentrifuge  (fischer brand ) (6 holes),,Each,2,0,2,100%
MNTD009,pk-25-96-well PCR plate (non skerted ),,Pack,3,0,3,100%
MNTD010,"96- well full skirt PCR micro plate ,clear ( axygen )",,Pack,5,2,3,60%
MNTD011,axygen pierceable  alumnium sealing film (non sterile),,Pack,13,0,13,100%
MNTD012,adhesive sealing sheet (clear),,Pack,13,2,11,85%
MNTD013,0.2ml non skirted low profile 96-well PCR plate,,Pack,8,0,8,100%
MNTD014, assay plate with low evaporation lid 96 well flat bottom ,,Pack,20,0,20,100%
MNTD015,"quality nano plate 26k, 24-well (10)",,Pack,16,0,16,100%
MNTD016,QIAality nano plate 8.5K- 24-well(10),,Pack,11,0,11,100%
MNTD017,1Xds DNA BR working solution ,,Each,12,0,12,100%
MNTD018,RNase free 8-strip 0.2ml PCR tubes of capsF ,,Pack,2,0,2,100%
MNTD019,PCR consumable with attached individual cap 0.2ml,,Box,3,0,3,100%
MNTD020,high seansetivity DNA chips (agilent),,Each,8,0,8,100%
MNTD021,VWS PCR plate 96 well non skirted (0.2ml),,Pack,176,6,170,97%
MNTD022,1ml lver syringe with out needle,,Pack,61,2,59,97%
MNTD023,"square well-block (DNA.RNA,&protein pun)",,Box,1,0,1,100%
MNTD024,king fisher 96 tip comb,,Pack,2,0,2,100%
MNTD025,low protein birding microcentrifuge tubes 1.5ml,,Pack,3,0,3,100%
MNTD026,ultra pure agarose 500g ,,Each,4,0,4,100%
MNTD027,ultra pure 10x TBE buffer 1000ml ,,Bottle,5,0,5,100%
MNTD028,10X TBE buffer 0.2um filtered 1000ml,,Bottle,2,0,2,100%
MNTD029,water molecular biology grade 0.03u  filtered 1l,,Bottle,1,0,1,100%
MNTD030,sub-cell GT gel tray 15x15cm,,Each,4,0,4,100%
MNTD031,sub-cell GT gel scasting gates,,Each,1,0,1,100%
MNTD032,sub-cell GT gel caster,,Each,1,0,1,100%
MNTD033, Sub -cell GT comb 15 wall(14cmx1.5mm),,Each,4,0,4,100%
MNTD034,"Methanol 99.8%for HPLC,2.5L",,Bottle,3,0,3,100%
MNTD035,"tween,20 250ml",,Bottle,2,0,2,100%
MNTD036,Nuclo mag blood 200ul(4x96 preps),,Each,15,0,15,100%
MNTD037,"96,wall accessories kit B for king fisher",,Each,15,0,15,100%
MNTD038,"96 wall accessories kit B ,1 set",,Each,2,0,2,100%
MNTD039,cryovial sterlized non pyrogenic 1.8ml,,Case,2,0,2,100%
MNTD040,sodium azide.>=99.5%,,Bottle,1,0,1,100%
MNTD041,hard shell PCR plates 96 well thin white well,,Pack,1,0,1,100%
MNTD042,hard shell PCRplates 96 well white clear well,,Pack,1,0,1,100%
MNTD043,"filter tip,100ul(96x1)",,Each,5,0,5,100%
MNTD044,"filter tips,200ul(96x1)",,Each,1,0,1,100%
MNTD045,"filter tips,10ul(96x1)",,Each,1,0,1,100%
MNTD046,filter tips 1000ul(96x1),,Each,1,0,1,100%
MNTD047,RT-LTS 200ul f 960A/10,,Pack,1,0,1,100%
MNTD048,Neptune 20ul universal barrier tips,,Pack,1,0,1,100%
MNTD049,UTIP 10UL Tips,,Pack,1,0,1,100%
MNTD050,UTIP 1250 UL Tips,,Pack,1,0,1,100%
MNTD051,Quibit assay tubes(0.5ml),,Pack,10,0,10,100%
MNTD052,slide box(100 slides),,Each,1,0,1,100%
MNTD053,Tally counter,,Each,1,0,1,100%
MNTD054,Hemacue-301 machine,,Each,1,0,1,100%
MNTD055,minigrip bag PE 100ul 100x150,,Case,2,0,2,100%
MNTD056,PCR tube strip of 8 with cap strip 0.25ml flat,,Box,2,0,2,100%
